,text,favorite counts,retweet counts
0,土中にいた「娘」と待つ聖火正直、某知事のせいでオリンピック熱が冷めてましたが、この記事を読んで全力で聖火リレーを応援したくなりました。復興五輪、必ず成功させましょう。,0,0
1,「今回の延長で終わらせる」4都県知事、テレビ会議で決意なるほど、感染者数を操作･改竄して激減したようにして、今後は各企業等にも感染者が出ても公にしないように箝口令を敷き、終息したかに見せかけて、オリンピック強行開催って事だな‼️なかなかやるなぁ～クズども💨,0,0
2,だから政府は、何もしない。,0,0
3,,0,0
4,,0,0
5,ひろゆき氏フランスでは２４年パリ五輪を危ぶむ声…東京でできると誰も思ってない(デイリースポーツ)【東京オリンピックと菅政権さようならデモ＠京都】★日時：２０２１年３月１４日（日）午後１時集合午後１時３０分スタート★集合場所：京都市役所前,0,1
6,また増やす気ですか？,0,0
7,,0,0
8,もう減らないよwこの流れで引っ張って引っ張ってオリンピックギリギリまでってことないよな,0,0
9,【悲報】女子バレーボール人気選手、中学時代のイジメを告発され、東京オリンピック代表から追放される-ニコニコ２ちゃんねる,0,0
10,,0,0
11,オリンピック(意味深),0,0
12,こなみちゃんの応援にも力入るよ😊もう一度輝ける❗️まだまだ輝ける❗️一緒に叫んでくださいね😀,0,0
13,震災の多い国なのに避難所にする体育館になんの設備もないし、そのままオリンピックやるって言い張ってるしなんだかなー,0,0
14,,0,0
15,みんなからの匿名質問を募集中！こんな質問に答えてるよ●てしと落き突女たてっ狙？狙？狙…●レジ袋をこれ以上出して欲しくな…●オリンピック1〜2年延期案が出…●櫻井が撮られたのは単にジャニー…,0,0
16,オリンピックももう無理でしょ？早くやめてコロナ対策と給付金にお金を使って！GoToもいらんから👋他国みたいに補償をちゃんとすれば良いんだよ😤バカ政府‼️,0,0
17,東京オリンピック開催は無謀なんだけど、その無謀なことをやりたがる人がいるのは、日本に限ったことではないわけで。グラフは,0,0
18,菅谷大介は平昌オリンピックの実況で名言ぽいのを言ったらネットで叩かれたという黒歴史がある。,0,0
19,,0,0
20,やらないとは決めてない以上、オリンピックは開催されるのでは？という話を聞いてなるほどなあと思った。いろんな関係者がいるので、いずれにせよさっさと決めなきゃですよね。で、決めるも何も、やると決めたのから変わってませんという話。改めてまじかーと思ったのでした。,0,0
21,とまでは言えないことばかりだと思います…オリンピックだって元々は其処だから_φ(･_･🎀,0,0
22,お〜い政府のアホ共。高校生、中学生、小学生の子供らが何も出来なくて泣いてるのに、オリンピックはやるんかい?アホか?オリンピックなんかより、大事な子供らに目👀向けたれや!アホ、カス、ボケ!日本の若者に期待させい!クソ政府!,0,0
23,不要不急の五輪オリンピックなど大一番に中止だろうよ！飲食店に閉店時間短縮・休業要請するまえにこの時期にやるべきでない、疑惑の五輪などが中止されるべき,0,0
24,東仲PDがシナリオブックに「今作は、もともとオリンピックの時期に放送される予定でした。オリンピックが終わり、日本が高揚感に満ち溢れている中、慶太みたいな浪費家が増えているだろうなと思い、そんな流れとは正反対の清貧な主人公を描くのだったら、とても意味のある作品になると思いました」→,0,0
25,オリンピックで日本にも大量にやってくるね。ブラジルで変異株猛威1日2000人近い死者他国に波及懸念,0,0
26,オリンピックは純粋にがんばっているアスリートを応援する運動会ではないんだと思う。湾岸開発を目的に電⚪︎が誘致したらしいし、今だって電⚫︎が管理してるようなものでしょ？結局、一部の政党や企業の利益のために税金を大量に使う利権の祭典と思うと見る気はなくなるよ。,0,0
27,気合い💪のオリンピック開催ですかねこれは…,1,0
28,結局…都民に我慢を強いる以外なにもしてないように感じます。あっ…あとオリンピックを開催するために数字を操作したりしてるようには感じます。この人が都知事でも都民には何のメリットも感じない。,1,0
29,TOKIOの辞退はオリンピックの延期によりスケジュールが合わなくなったからですよ！,0,0
30,(科学オリンピック地学の学校代表(なお県予選落ち)),2,0
31,オリンピック期間は千葉がギリギリ被っちゃうけど関東は避けたのかな。,0,0
32,ハムちゃんが喜んでくれそうなのを選ぶのって楽しいですよね🥰✨エサもいろいろありそうですね😊ハムちゃん飼ってませんが…今度オリンピック見に行ってみます🤭,0,0
33,東京湾は下水以外に放射能汚染も深刻・・・,0,0
34,かかる前から虐殺だ外出、オリンピック、海外への移動の選択肢は自由であるべき早く海外渡航の規制を解け誰の為に殺されなきゃならない？思考停止したい文明を否定したい人？,0,0
35,2020の流行なんも分からん。鬼滅の刃と呪術廻戦の違いがわからん。オリンピックって結局あったんか？緊急事態宣言ってどこの国で出とったんや。あとNiziUってなんやねん、wiiUなら知ってるわ。,0,0
36,よくある会計を学ぶ物語調の本。まあ東京オリンピック2020は開催されないんだけどな,1,1
37,［清谷信一］近代オリンピックは欧米の歴史コンプレックスが源流だ①,0,0
38,［清谷信一］近代オリンピックは欧米の歴史コンプレックスが源流だ②,0,0
39,調子は悪くないので、ここでいい演技ができたらオリンピックにもつながると思う。全日本選手権のように自分をしっかりアピールする演技をしたい,0,0
40,【バイバイ原発３・６きょうと】を伝える京都新聞2021年3月7日付記事。「復興五輪といううそを塗り重ね、福島はオリンピックどごでねぇと叫びたい」,3,3
